time (fs),deltaI
47.19092768,-12.14622851
47.13372671,-16.84220913
47.07652574,-21.69648123
47.01932477,-26.60351716
46.96212381,-31.61608074
46.90492284,-36.36482519
46.84772187,-40.69145902
46.7905209,-44.43769075
46.73331993,-47.49799273
46.67611896,-49.45025434
46.618918,-50.29447557
46.56171703,-50.3472394
46.50451606,-49.29196285
46.44731509,-47.49799273
46.39011412,-44.43769075
46.33291315,-40.48040371
46.27571218,-35.57336778
46.21851122,-30.03316593
46.16131025,-23.75427049
46.10410928,-17.10602826
46.04690831,-9.98291159
45.98970734,-2.543211955
45.93250637,5.002015334
45.87530541,12.07236818
45.81810444,18.61508275
45.76090347,24.78845053
45.7037025,30.27588856
45.64650153,35.18292449
45.58930056,39.14021153
45.53209959,42.30604116
45.47489863,44.68041339
45.41769766,46.42161969
45.36049669,47.47689623
45.30329572,47.68795154
45.24609475,47.58242388
45.18889378,46.94925796
45.13169282,45.89398141
45.07449185,44.41659425
45.01729088,42.04222203
44.96008991,38.98192005
44.90288894,35.3939798
44.84568797,30.80352684
44.788487,25.63267177
44.73128604,19.24824868
44.67408507,12.01960435
44.6168841,3.94673879
44.55968313,-4.284418253
44.50248216,-12.41004764
44.44528119,-20.4829132
44.38808023,-28.2391958
44.33087926,-35.67889544
44.27367829,-42.53819297
44.21647732,-48.6060331
44.15927635,-53.93517965
44.10207538,-58.94774323
44.04487441,-63.37990472
43.98767345,-66.651262
43.93047248,-68.92010657
43.87327151,-69.92261929
43.81607054,-69.44774484
43.75886957,-68.02312151
43.7016686,-65.43769398
43.64446764,-62.11357286
43.58726667,-57.94523052
43.5300657,-53.03819459
43.47286473,-47.33970125
43.41566376,-41.53568026
43.35846279,-35.46784013
43.30126182,-29.13618086
43.24406086,-23.12110456
43.18685989,-17.42261123
43.12965892,-12.41004764
43.07245795,-7.503011712
43.01525698,-2.859794918
42.95805601,2.047241011
42.90085505,6.532166323
42.84365408,11.49196608
42.78645311,16.50452966
42.72925214,21.72814856
42.67205117,26.63518449
42.6148502,31.17287363
42.55764923,34.91910536
42.50044827,37.61006054
42.4432473,39.56232215
42.38604633,40.19548808
42.32884536,39.98443277
42.27164439,38.71810092
42.21444342,36.23820104
42.15724246,32.65026079
42.10004149,28.27086313
42.04284052,23.52211868
41.98563955,18.40402744
41.92843858,13.0748809
41.87123761,7.270859904
41.81403664,0.886436813
41.75683568,-5.339694797
41.69963471,-12.04070085
41.64243374,-19.26934518
41.58523277,-26.39246185
41.5280318,-33.0934679
41.47083083,-39.53065482
41.41362987,-45.12362051
41.3564289,-49.81960113
41.29922793,-53.82965199
41.24202696,-56.78442632
41.18482599,-58.94774323
41.12762502,-60.42513039
41.07042405,-61.16382397
41.01322309,-61.00553249
40.95602212,-60.16131126
40.89882115,-58.94774323
40.84162018,-57.25930076
40.78441921,-55.14874767
40.72721824,-52.6688478
40.67001727,-49.50301816
40.61281631,-45.86231409
40.55561534,-41.53568026
40.49841437,-35.94271457
40.4412134,-29.24170852
40.38401243,-21.32713444
40.32681146,-12.35728381
40.2696105,-2.490448128
40.21240953,8.009553485
40.15520856,18.98442954
40.09800759,29.27337585
40.04080662,39.14021153
39.98360565,48.32111747
39.92640468,56.13016389
39.86920372,62.67287846
39.81200275,68.05478884
39.75480178,72.53971415
39.69760081,75.44172465
39.64039984,77.18293094
39.58319887,77.34122243
39.52599791,76.18041823
39.46879694,73.48946304
39.41159597,69.532176
39.354395,64.25579328
39.29719403,57.71307871
39.23999306,50.80101734
39.18279209,43.46684536
39.12559113,35.92161807
39.06839016,28.16533548
39.01118919,20.51458053
38.95398822,13.0748809
38.89678725,5.793472742
38.83958628,-1.171352448
38.78238532,-8.399996774
38.72518435,-15.36482196
38.66798338,-22.27688333
38.61078241,-29.03065321
38.55358144,-35.25678482
38.49638047,-41.37738877
38.4391795,-47.12864594
38.38197854,-52.6688478
38.32477757,-57.31206459
38.2675766,-61.05829632
38.21037563,-63.80201533
38.15317466,-65.64874929
38.09597369,-66.54573435
38.03877273,-65.75427694
37.98157176,-63.43266854
37.92437079,-59.58090916
37.86716982,-54.46281792
37.80996885,-47.76181187
37.75276788,-40.2693484
37.69556691,-31.56331692
37.63836595,-22.17135567
37.58116498,-12.14622851
37.52396401,-1.646226893
37.46676304,8.85377472
37.40956207,19.40654016
37.3523611,29.3789035
37.29516014,38.82362857
37.23795917,47.58242388
37.1807582,55.39147031
37.12355723,61.93418488
37.06635626,67.15780378
37.00915529,71.48443761
36.95195432,74.33368428
36.89475336,75.70554378
36.83755239,75.65277996
36.78035142,74.22815662
36.72315045,72.06483971
36.66594948,68.63519094
36.60874851,64.62514007
36.55154755,59.55981266
36.49434658,54.28342994
36.43714561,48.84875574
36.37994464,42.5698603
36.32274367,36.29096486
36.2655427,28.69297375
36.20834173,20.62010819
36.15114077,11.12261929
36.0939398,0.991964467
36.03673883,-10.03567542
35.97953786,-21.48542592
35.92233689,-33.04070408
35.86513592,-44.12110779
35.80793496,-54.25176261
35.75073399,-63.74925151
35.69353302,-71.82211707
35.63633205,-78.94523374
35.57913108,-84.43267177
35.52193011,-87.96784819
35.46472914,-90.02563745
35.40752818,-90.02563745
35.35032721,-88.7593056
35.29312624,-85.8572951
35.23592527,-81.63618893
35.1787243,-76.04322324
35.12152333,-69.5532725
35.06432237,-62.06080904
35.0071214,-53.03819459
34.94992043,-43.48794186
34.89271946,-32.93517642
34.83551849,-22.43517481
34.77831752,-12.04070085
34.72111655,-2.332156646
34.66391559,6.690457805
34.60671462,15.0271425
34.54951365,21.93920387
34.49231268,28.32362696
34.43511171,33.60000968
34.37791074,38.34875412
34.32070977,42.41156882
34.26350881,46.31609203
34.20630784,49.85126845
34.14910687,52.8588066
34.0919059,55.54976179
34.03470493,57.66031488
33.97750396,59.19046587
33.920303,60.14021476
33.86310203,60.19297859
33.80590106,58.97941056
33.74870009,56.07740006
33.69149912,51.69800241
33.63429815,45.41910697
33.57709718,37.55729672
33.51989622,28.27086313
33.46269525,17.61257004
33.40549428,6.426638669
33.34829331,-5.181403315
33.29109234,-16.36733468
33.23389137,-27.44773839
33.17669041,-37.89497618
33.11948944,-47.81457569
33.06228847,-57.57588372
33.0050875,-66.33467904
32.94788653,-74.14372547
32.89068556,-80.36985708
32.83348459,-85.22412918
32.77628363,-88.38995881
32.71908266,-90.44774807
32.66188169,-90.97538634
32.60468072,-89.86734597
32.54747975,-88.07337585
32.49027878,-85.59347597
32.43307782,-82.48041016
32.37587685,-78.62865078
32.31867588,-74.56583608
32.26147491,-70.1336746
32.20427394,-65.2794025
32.14707297,-60.21407508
32.089872,-54.56834557
32.03267104,-48.71156076
31.97547007,-42.32713766
31.9182691,-35.46784013
31.86106813,-28.18643197
31.80386716,-20.06080259
31.74666619,-10.93266048
31.68946523,-0.907533312
31.63226426,9.856287437
31.57506329,21.14774646
31.51786232,32.33367782
31.46066135,43.25579005
31.40346038,53.49197253
31.34625941,62.46182316
31.28905845,69.74323131
31.23185748,75.17790551
31.17465651,78.92413724
31.11745554,80.4015244
31.06025457,80.19046909
31.0030536,77.81609687
30.94585264,73.64775452
30.88865167,67.52715057
30.8314507,60.24574241
30.77424973,52.0673492
30.71704876,42.88644326
30.65984779,33.12513523
30.60264682,22.99448041
30.54544586,12.54724262
30.48824489,2.205532493
30.43104392,-8.083413811
30.37384295,-17.63366653
30.31664198,-26.76180864
30.25944101,-34.8346742
30.20224005,-42.06331853
30.14503908,-48.65879693
30.08783811,-54.30452644
30.03063714,-59.52814533
29.97343617,-63.90754299
29.9162352,-67.75930237
29.85903423,-70.66131287
29.80183327,-73.14121275
29.7446323,-74.9879467
29.68743133,-76.09598707
29.63023036,-76.30704238
29.57302939,-75.30452966
29.51582842,-72.98292127
29.45862746,-69.07839805
29.40142649,-63.96030682
29.34422552,-56.99548163
29.28702455,-48.65879693
29.22982358,-38.95025272
29.17262261,-28.18643197
29.11542164,-16.42009851
29.05822068,-3.756779981
29.00101971,9.645232128
28.94381874,23.04724424
28.88661777,35.81609042
28.8294168,48.16282598
28.77221583,59.454285
28.71501487,69.63770365
28.6578139,78.66031811
28.60061293,86.15278157
28.54341196,92.32614935
28.48621099,96.86383849
28.42901002,99.71308516
28.37180905,100.9266532
28.31460809,100.5573064
28.25740712,98.76333627
28.20020615,95.86132577
28.14300518,91.90403873
28.08580421,87.20805811
28.02860324,81.66785626
27.97140227,75.60001613
27.91420131,69.32112069
27.85700034,62.51458698
27.79979937,55.12765117
27.7425984,46.89649413
27.68539743,38.2959903
27.62819646,28.64020992
27.5709955,18.40402744
27.51379453,7.640206694
27.45659356,-3.704016154
27.39939259,-15.048239
27.34219162,-26.18140654
27.28499065,-37.31457408
27.22778968,-47.55075656
27.17058872,-56.88995397
27.11338775,-65.38493015
27.05618678,-72.56081065
26.99898581,-78.31206781
26.94178484,-82.1638272
26.88458387,-84.59096325
26.82738291,-85.22412918
26.77018194,-84.27438029
26.71298097,-81.79448041
26.65578,-77.62613806
26.59857903,-72.34975534
26.54137806,-65.8598046
26.48417709,-58.47286879
26.42697613,-49.81960113
26.36977516,-40.2693484
26.31257419,-29.76934679
26.25537322,-19.53316431
26.19817225,-8.874871219
26.14097128,1.466838912
26.08377032,11.80854904
26.02656935,21.83367621
25.96936838,30.85629066
25.91216741,38.82362857
25.85496644,46.36885586
25.79776547,53.4392087
25.7405645,59.92915945
25.68336354,65.8387081
25.62616257,70.64021637
25.5689616,74.54473958
25.51176063,77.76333304
25.45455966,80.03217761
25.39735869,80.87639885
25.34015773,80.34876058
25.28295676,78.34373514
25.22575579,74.9668502
25.16855482,70.00705044
25.11135385,63.88644649
25.05415288,55.65528945
24.99695191,45.78845376
24.93975095,34.44423091
24.88254998,21.93920387
24.82534901,8.589955584
24.76814804,-4.759292698
24.71094707,-17.73919419
24.6537461,-30.66633185
24.59654514,-42.85477594
24.53934417,-54.6211094
24.4821432,-65.64874929
24.42494223,-75.88493176
24.36774126,-85.11860152
24.31054029,-93.34975857
24.25333932,-100.2090561
24.19613836,-105.5382026
24.13893739,-109.6010173
24.08173642,-112.133681
24.02453545,-112.5557917
23.96733448,-111.2894598
23.91013351,-108.5457408
23.85293255,-104.2718708
23.79573158,-98.99548808
23.73853061,-92.18895437
23.68132964,-84.80201856
23.62412867,-76.88744448
23.5669277,-68.55075978
23.50972673,-59.58090916
23.45252577,-50.3472394
23.3953248,-40.8497505
23.33812383,-31.24673395
23.28092286,-21.16884296
23.22372189,-10.45778604
23.16652092,0.517090022
23.10931996,11.75578522
23.05211899,23.10000806
22.99491802,34.44423091
22.93771705,45.26081549
22.88051608,55.28594266
22.82331511,63.93921032
22.76611414,70.79850785
22.70891318,75.96936292
22.65171221,78.97690107
22.59451124,80.4015244
22.53731027,80.24323292
22.4801093,78.34373514
22.42290833,74.80855872
22.36570737,69.47941217
22.3085064,62.98946143
22.25130543,55.49699796
22.19410446,47.10754944
22.13690349,37.50453289
22.07970252,26.476893
22.02250155,15.07990633
21.96530059,3.20804521
21.90809962,-8.558288256
21.85089865,-20.85225999
21.79369768,-32.82964877
21.73649671,-44.43769075
21.67929574,-54.93769236
21.62209478,-64.59347274
21.56489381,-73.45779571
21.50769284,-81.26684214
21.45049187,-87.80955671
21.3932909,-92.87488412
21.33608993,-97.0959903
21.27888896,-99.89247314
21.221688,-101.8974986
21.16448703,-103.0055389
21.10728606,-102.9527751
21.05008509,-101.3170965
20.99288412,-98.4678498
20.93568315,-94.14121597
20.87848218,-88.07337585
20.82128122,-80.21156559
20.76408025,-70.50302139
20.70687928,-59.2643262
20.64967831,-47.23417359
20.59247734,-34.14874445
20.53527637,-20.00803876
20.47807541,-5.075875661
20.42087444,10.27839805
20.36367347,25.42161646
20.3064725,39.93166894
20.24927153,53.54473636
20.19207056,66.15529106
20.13486959,77.49951391
20.07766863,86.9970028
